"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"10269","GO:0071962",0.0221799034917487,0.998439712477851,4,5,"mitotic sister chromatid cohesion, centromeric","BP"
"6878","GO:0045586",0.022228935094696,0.995782771767623,8,11,"regulation of gamma-delta T cell differentiation","BP"
"13015","GO:1903432",0.022706062818911,0.986084958454884,48,104,"regulation of TORC1 signaling","BP"
"8966","GO:0060628",0.0228052807491637,0.99564811790154,8,11,"regulation of ER to Golgi vesicle-mediated transport","BP"
"8131","GO:0051174",0.0228538101729241,0.981473784317661,228,577,"regulation of phosphorus metabolic process","BP"
"6201","GO:0042494",0.0228627759260823,1,4,4,"detection of bacterial lipoprotein","BP"
"14910","GO:2001234",0.0229823936680122,0.983470689009478,95,232,"negative regulation of apoptotic signaling pathway","BP"
"8912","GO:0060538",0.0230679837789626,0.983885546890697,83,193,"skeletal muscle organ development","BP"
"11156","GO:0097492",0.0233375531073677,1,4,4,"sympathetic neuron axon guidance","BP"
"11187","GO:0097680",0.0233502073759726,0.995520015596375,8,11,"double-strand break repair via classical nonhomologous end joining","BP"
"4998","GO:0033152",0.0233719085683782,0.996775936252285,6,8,"immunoglobulin V(D)J recombination","BP"
"12431","GO:1901875",0.0235076815670099,0.9847814632848,57,132,"positive regulation of post-translational protein modification","BP"
"10489","GO:0072332",0.0235929772218466,0.986209184157541,40,86,"intrinsic apoptotic signaling pathway by p53 class mediator","BP"
"6770","GO:0045054",0.0236248054776643,0.996731558492123,6,8,"constitutive secretory pathway","BP"
"9525","GO:0065008",0.0237402383594432,0.978473111788134,1133,3031,"regulation of biological quality","BP"
"11143","GO:0097435",0.0237767650929665,0.980069846823056,321,811,"supramolecular fiber organization","BP"
"4035","GO:0030100",0.0239207495269137,0.981993494830498,125,308,"regulation of endocytosis","BP"
"14008","GO:1905674",0.0239829081266032,1,3,3,"regulation of adaptive immune memory response","BP"
"13469","GO:1904407",0.0240550548083427,0.989005530129482,21,41,"positive regulation of nitric oxide metabolic process","BP"
"743","GO:0002568",0.0241491389075236,1,4,4,"somatic diversification of T cell receptor genes","BP"
"801","GO:0002681",0.0241491389075236,1,4,4,"somatic recombination of T cell receptor gene segments","BP"
"4999","GO:0033153",0.0241491389075236,1,4,4,"T cell receptor V(D)J recombination","BP"
"9772","GO:0070670",0.0243863158832779,0.989068093912085,20,39,"response to interleukin-4","BP"
"11936","GO:0160075",0.0244328216702357,0.99793177679136,5,6,"non-canonical inflammasome complex assembly","BP"
"7591","GO:0048285",0.0244403370197513,0.980446075986062,198,499,"organelle fission","BP"
"7869","GO:0050657",0.0245252968493377,0.983398944080771,69,161,"nucleic acid transport","BP"
"7870","GO:0050658",0.0245252968493377,0.983398944080771,69,161,"RNA transport","BP"
"3264","GO:0016073",0.0246415749111878,0.987173599073203,28,58,"snRNA metabolic process","BP"
"12734","GO:1902743",0.0247516102706705,0.987567256483429,26,52,"regulation of lamellipodium organization","BP"
