"","SRR4785988.sorted.bam","SRR4785986.sorted.bam","SRR4785980.sorted.bam","SRR4785979.sorted.bam","SRR4785831.sorted.bam","SRR4785828.sorted.bam","SRR4785820.sorted.bam","SRR4785819.sorted.bam"
"NPHP4",0,0,0,0,0,0,0,0
"KCNAB2",0,0,0,0,0,0,0,0
"LOC124903831",0,0,0,0,0,0,0,0
"CHD5",0,0,0,0,0,0,0,0
"RPL22",0,0,0,0,0,0,0,0
"RNF207-AS1",0,0,0,0,0,0,0,0
"RNF207",0,0,0,0,0,0,0,0
"ICMT",0,0,0,0,0,0,0,0
"ICMT-DT",0,0,0,0,0,0,0,0
"HES3",0,0,0,0,0,0,0,0
"GPR153",0,0,0,0,0,0,0,0
"ACOT7",0,0,0,0,0,0,0,0
"HES2",0,0,0,0,0,0,0,0
"ESPN",0,0,0,0,0,0,0,0
"MIR4252",0,0,0,0,0,0,0,0
"TNFRSF25",0,0,0,0,0,0,0,0
"PLEKHG5",0,0,0,0,0,0,0,0
"NOL9",0,0,0,0,0,0,0,0
"RNU6-731P",0,0,0,0,0,0,0,0
"TAS1R1",0,0,0,0,0,0,0,0
"LOC107984912",0,0,0,0,0,0,0,0
"ZBTB48",0,0,0,0,0,0,0,0
"KLHL21",0,0,0,0,0,0,0,0
"LOC107984913",0,0,0,0,0,0,0,0
"PHF13",0,0,0,0,0,0,0,0
"THAP3",0,0,0,0,0,0,0,0
"DNAJC11",0,0,0,0,0,0,0,0
"LINC01672",0,0,0,0,0,0,0,0
"LOC124904847",0,0,0,0,0,0,0,0
"CAMTA1-DT",0,0,0,0,0,0,0,0
"CAMTA1",0,0,0,0,0,0,0,0
"LOC124903832",0,0,0,0,0,0,0,0
"RPL37P9",0,0,0,0,0,0,0,0
"CAMTA1-AS3",0,0,0,0,0,0,0,0
"RNU1-8P",0,0,0,0,0,0,0,0
"CAMTA1-IT1",0,0,0,0,0,0,0,0
"CAMTA1-AS2",0,0,0,0,0,0,0,0
"CAMTA1-AS1",0,0,0,0,0,0,0,0
"LOC105376691",0,0,0,0,0,0,0,0
"LOC105376689",0,0,0,0,0,0,0,0
"VAMP3",0,0,0,0,0,0,0,0
"PER3",0,0,0,0,0,0,0,0
"LOC124903833",0,0,0,0,0,0,0,0
"UTS2",0,0,0,0,0,0,0,0
"TNFRSF9",0,0,0,0,0,0,0,0
"TRUND-NNN4-1",0,0,0,0,0,0,0,0
"PARK7",0,0,0,0,0,0,0,0
"LOC124903834",0,0,0,0,0,0,0,0
"ERRFI1",0,0,0,0,0,0,0,0
"ERRFI1-DT",0,0,0,0,0,0,0,0
"RPL7AP18",0,0,0,0,0,0,0,0
"LOC107984915",0,0,0,0,0,0,0,0
"EIF2S3P1",0,0,0,0,0,0,0,0
"RNU1-7P",0,0,0,0,0,0,0,0
"LINC01714",0,0,0,0,0,0,0,0
"LOC105376695",0,0,0,0,0,0,0,0
"LINC03154",0,0,0,0,0,0,0,0
"RNU6-991P",0,0,0,0,0,0,0,0
"SLC45A1",0,0,0,0,0,0,0,0
"RERE",0,0,0,0,0,0,0,0
"RERE-AS1",0,0,0,0,0,0,0,0
"SNORD128",0,0,0,0,0,0,0,0
"LOC124900452",0,0,0,0,0,0,0,0
"RPL7P11",0,0,0,0,0,0,0,0
"RPL7P7",0,0,0,0,0,0,0,0
"RPL27P3",0,0,0,0,0,0,0,0
"RPL23AP19",0,0,0,0,0,0,0,0
"ENO1",0,0,0,0,0,0,0,0
"MIR6728",0,0,0,0,0,0,0,0
"ENO1-AS1",0,0,0,0,0,0,0,0
"RNU6-304P",0,0,0,0,0,0,0,0
"HMGN2P17",0,0,0,0,0,0,0,0
"LINC03153",0,0,0,0,0,0,0,0
"CA6",0,0,0,0,0,0,0,0
"RN7SL451P",0,0,0,0,0,0,0,0
"SLC2A7",0,0,0,0,0,0,0,0
"SLC2A5",0,0,0,0,0,0,0,0
"LOC124900441",0,0,0,0,0,0,0,0
"GPR157",0,0,0,0,0,0,0,0
"MIR34AHG",0,0,0,0,0,0,0,0
"MIR34A",0,0,0,0,0,0,0,0
"LNCTAM34A",0,0,0,0,0,0,0,0
"H6PD",0,0,0,0,0,0,0,0
"LOC124903836",0,0,0,0,0,0,0,0
"SPSB1",0,0,0,0,0,0,0,0
"LINC02606",0,0,0,0,0,0,0,0
"RNA5SP40",0,0,0,0,0,0,0,0
"SLC25A33",0,0,0,0,0,0,0,0
"RPL9P11",0,0,0,0,0,0,0,0
"TMEM201",0,0,0,0,0,0,0,0
"LOC124903837",0,0,0,0,0,0,0,0
"PIK3CD",0,0,0,0,0,0,0,0
"LOC105376712",0,0,0,0,0,0,0,0
"PIK3CD-AS1",0,0,0,0,0,0,0,0
"RPL26P7",0,0,0,0,0,0,0,0
"PIK3CD-AS2",0,0,0,0,0,0,0,0
"LOC124903839",0,0,0,0,0,0,0,0
"CLSTN1",0,0,0,0,0,0,0,0
"MZT1P1",0,0,0,0,0,0,0,0
"CTNNBIP1",0,0,0,0,0,0,0,0
"CTNNBIP1-AS1",0,0,0,0,0,0,0,0
"LOC105376717",0,0,0,0,0,0,0,0
"LOC124903838",0,0,0,0,0,0,0,0
"LZIC",0,0,0,0,0,0,0,0
"NMNAT1",0,0,0,0,0,0,0,0
"RN7SKP269",0,0,0,0,0,0,0,0
"TMEM274P",0,0,0,0,0,0,0,0
"MIR5697",0,0,0,0,0,0,0,0
"LOC124903840",0,0,0,0,0,0,0,0
"RBP7",0,0,0,0,0,0,0,0
"UBE4B",0,0,0,0,0,0,0,0
"RPL21P21",0,0,0,0,0,0,0,0
"PGAM1P11",0,0,0,0,0,0,0,0
"RNU6-828P",0,0,0,0,0,0,0,0
"KIF1B",0,0,0,0,0,0,0,0
"RNU6-37P",0,0,0,0,0,0,0,0
